Source,Target,Weight
England,Scotland,49
Scotland,England,42
Scotland,Wales,61
England,Wales,69
Wales,England,15
England,Northern Ireland,76
Wales,Northern Ireland,45
Scotland,Northern Ireland,63
Canada,United States,11
United States,Canada,17
Northern Ireland,Wales,26
Scotland,Canada,6
Argentina,Uruguay,84
Austria,Hungary,40
Northern Ireland,Scotland,15
Hungary,Czechoslovakia,22
Hungary,Austria,67
Uruguay,Argentina,54
France,Switzerland,16
Wales,Scotland,23
Guernsey,Alderney,62
Guernsey,Jersey,47
Netherlands,Belgium,57
Belgium,France,30
Belgium,Netherlands,40
Jersey,Alderney,49
France,Belgium,26
Czechoslovakia,Hungary,11
Switzerland,Germany,9
Jersey,Guernsey,58
Netherlands,France,11
England,Austria,11
Austria,Germany,9
England,Hungary,16
England,Czechoslovakia,8
Sweden,Norway,58
Netherlands,Sweden,8
Belgium,Sweden,9
Germany,Switzerland,36
Netherlands,Germany,12
Italy,France,18
Belgium,Germany,5
Hungary,Italy,7
Argentina,Chile,57
Uruguay,Chile,47
Hungary,France,12
Switzerland,Hungary,11
Switzerland,France,12
Switzerland,Italy,8
Germany,Sweden,16
Sweden,Finland,69
Sweden,Germany,12
Hungary,Switzerland,30
France,Luxembourg,16
Hungary,Germany,11
France,Catalonia,1
Belgium,Switzerland,15
France,Italy,10
Hungary,Norway,9
Austria,Italy,13
Norway,Russia,2
Netherlands,Austria,10
Hungary,Russia,6
Denmark,Germany,8
Catalonia,France,1
Northern Ireland,England,7
Italy,Belgium,16
Sweden,Russia,10
Hungary,Sweden,16
Denmark,Sweden,41
Luxembourg,France,1
Denmark,Netherlands,8
Italy,Switzerland,29
Argentina,Brazil,40
Brazil,Argentina,43
Basque Country,Catalonia,8
Denmark,Norway,51
Uruguay,Brazil,21
Brazil,Uruguay,37
United States,Sweden,4
Sweden,Denmark,46
Philippines,Japan,3
Brazil,Chile,53
Austria,Switzerland,25
Switzerland,Austria,12
Norway,Denmark,22
Norway,Sweden,26
Argentina,Paraguay,56
Sweden,Netherlands,8
Netherlands,Denmark,13
Alderney,Guernsey,2
Switzerland,Netherlands,15
Switzerland,Sweden,11
Finland,Sweden,11
Finland,Estonia,17
Germany,Hungary,13
Catalonia,Provence,2
Paraguay,Argentina,16
England,Belgium,17
Norway,Finland,39
Austria,Sweden,20
Austria,Finland,8
Costa Rica,El Salvador,35
Costa Rica,Guatemala,24
Paraguay,Uruguay,25
Brazil,Paraguay,48
Czechoslovakia,Yugoslavia,17
Uruguay,Paraguay,33
Hungary,Poland,21
Spain,Portugal,16
Brittany,Luxembourg,3
Germany,Austria,25
Spain,France,16
Norway,Northern Ireland,10
Poland,Sweden,9
Romania,Yugoslavia,17
Czechoslovakia,Denmark,9
Norway,France,5
New Zealand,Australia,13
Yugoslavia,Czechoslovakia,8
Hungary,Finland,12
Czechoslovakia,Sweden,9
Poland,Yugoslavia,6
Paraguay,Chile,29
Galicia,Central Spain,1
Mexico,Guatemala,20
Italy,Germany,15
Guatemala,Mexico,4
Galicia,Andalusia,1
Belgium,Spain,4
Asturias,Galicia,1
England,France,17
England,Sweden,9
China PR,Philippines,12
China PR,Japan,10
Czechoslovakia,Italy,8
Yugoslavia,Poland,9
Australia,New Zealand,42
Yugoslavia,Romania,16
Sweden,Austria,12
Denmark,Switzerland,4
Estonia,Lithuania,23
Czechoslovakia,Romania,15
Finland,Germany,1
Russia,Estonia,4
Finland,Poland,3
Poland,Estonia,7
Estonia,Finland,10
Norway,Brittany,1
Germany,Norway,15
Paraguay,Brazil,11
Netherlands,Switzerland,14
Central Spain,Galicia,1
Austria,Yugoslavia,6
Spain,Catalonia,3
Curaçao,Aruba,29
Germany,Netherlands,16
Switzerland,Denmark,2
Sweden,Poland,15
Austria,Romania,3
Austria,Bulgaria,5
Italy,Spain,11
Czechoslovakia,Turkey,7
Switzerland,Lithuania,5
United States,Estonia,2
Uruguay,Yugoslavia,2
Egypt,Lithuania,1
France,Latvia,1
Netherlands,Romania,10
Republic of Ireland,Bulgaria,4
Italy,Luxembourg,8
Sweden,Belgium,5
Egypt,Hungary,2
Uruguay,United States,2
Switzerland,Czechoslovakia,7
Uruguay,France,3
Sweden,Egypt,2
Netherlands,Republic of Ireland,12
Uruguay,Netherlands,3
Australia,Canada,5
Uruguay,Switzerland,3
United States,Poland,7
Canada,Australia,3
Turkey,Finland,5
Turkey,Estonia,5
Austria,Egypt,1
Turkey,Latvia,4
Poland,Turkey,11
Sweden,Estonia,18
Poland,Finland,19
Finland,Latvia,9
Finland,Norway,9
Lithuania,Estonia,28
South Africa,Northern Ireland,1
Denmark,Belgium,6
Latvia,Estonia,28
Netherlands,South Africa,3
Russia,Turkey,16
Spain,Austria,9
Jamaica,Haiti,25
Turkey,Bulgaria,7
Austria,France,9
Turkey,Romania,5
Belgium,Hungary,9
Czechoslovakia,Austria,17
Romania,Bulgaria,18
Spain,Switzerland,17
Spain,Italy,12
Portugal,Italy,6
Germany,Finland,16
Sweden,Hungary,16
Spain,Hungary,5
Italy,Yugoslavia,8
Austria,Belgium,9
Catalonia,Czechoslovakia,1
Italy,Czechoslovakia,9
Curaçao,Haiti,4
Haiti,Curaçao,14
Hungary,Belgium,2
Jamaica,Curaçao,5
Austria,Czechoslovakia,8
Italy,Republic of Ireland,8
France,Portugal,17
Kenya,Uganda,31
Romania,Turkey,14
Yugoslavia,Bulgaria,16
France,Yugoslavia,8
Finland,Denmark,11
Czechoslovakia,Catalonia,1
Sweden,Italy,7
Latvia,Sweden,2
Latvia,Lithuania,30
Estonia,Latvia,12
Chile,Bolivia,32
Argentina,Bolivia,30
Paraguay,Bolivia,36
Uruguay,Bolivia,31
Chile,Paraguay,30
Czechoslovakia,Belgium,5
Portugal,France,6
Hungary,Yugoslavia,13
Italy,Portugal,18
England,Luxembourg,9
Sweden,Latvia,11
Canada,New Zealand,5
New Zealand,Canada,1
Japan,Philippines,6
Uruguay,Peru,38
Honduras,El Salvador,36
Peru,Bolivia,24
Argentina,Peru,35
Republic of Ireland,Belgium,4
France,Northern Ireland,6
Italy,Hungary,18
Yugoslavia,Turkey,5
Uganda,Kenya,42
Czechoslovakia,France,8
Portugal,Chile,2
Belgium,Luxembourg,15
Egypt,Turkey,2
Portugal,Yugoslavia,3
Argentina,United States,7
Spain,Mexico,4
Argentina,Belgium,4
Uruguay,Germany,1
Egypt,Portugal,1
Chile,Mexico,12
Argentina,Egypt,2
Uruguay,Italy,4
Italy,Egypt,3
Egypt,Netherlands,1
Belarus,Switzerland,1
Ukraine,Belarus,6
Latvia,Finland,4
Finland,Belarus,3
Germany,Denmark,15
Czechoslovakia,Poland,10
Italy,Netherlands,11
El Salvador,Honduras,18
France,Hungary,8
Barbados,Trinidad and Tobago,6
Germany,Italy,9
El Salvador,Nicaragua,20
Czechoslovakia,Switzerland,14
Spain,England,10
Yugoslavia,France,10
Scotland,Norway,10
Scotland,Netherlands,6
Denmark,Finland,40
Guyana,Trinidad and Tobago,8
Norway,Netherlands,5
Trinidad and Tobago,Guyana,38
Paraguay,Peru,23
Spain,Czechoslovakia,4
Portugal,Czechoslovakia,3
Greece,Yugoslavia,2
Scotland,France,8
Romania,Greece,17
Belgium,Portugal,6
Hungary,Netherlands,5
Czechoslovakia,Spain,6
Sweden,Switzerland,11
Norway,Switzerland,8
United States,Belgium,1
France,Mexico,5
Yugoslavia,Brazil,2
Romania,Peru,2
Argentina,France,6
Yugoslavia,Bolivia,1
United States,Paraguay,4
Argentina,Mexico,16
Chile,France,2
Paraguay,Belgium,1
Brazil,Bolivia,24
Uruguay,Romania,2
Brazil,France,7
Argentina,Yugoslavia,2
Brazil,Yugoslavia,7
Brazil,United States,18
Bulgaria,Romania,9
Poland,Latvia,11
Greece,Bulgaria,5
Barbados,Martinique,2
Italy,Austria,17
Martinique,Barbados,5
Trinidad and Tobago,Barbados,29
Guyana,Barbados,17
France,Germany,15
Yugoslavia,Greece,14
France,England,11
Austria,Scotland,8
Italy,Scotland,8
Yugoslavia,Hungary,5
Scotland,Switzerland,8
Portugal,Belgium,6
Romania,Poland,14
Romania,Lithuania,11
Bulgaria,Turkey,8
Turkey,Yugoslavia,1
Bulgaria,Yugoslavia,6
Belgium,Poland,8
Bulgaria,Greece,12
England,Spain,13
Spain,Republic of Ireland,15
Haiti,Jamaica,25
Dominica,Martinique,2
Spain,Yugoslavia,7
Republic of Ireland,Netherlands,7
Czechoslovakia,Netherlands,6
Belgium,Denmark,7
Norway,Estonia,4
France,Bulgaria,11
Romania,France,3
Lithuania,Latvia,18
Sweden,Lithuania,5
Poland,Romania,7
Portugal,Hungary,10
France,Spain,13
Switzerland,Yugoslavia,2
England,Switzerland,19
Spain,Bulgaria,4
Finland,Lithuania,3
Poland,Silesia,2
Germany,Belgium,20
Germany,Poland,13
Austria,Netherlands,6
Cuba,Haiti,9
Mexico,Cuba,12
Germany,Luxembourg,11
Martinique,Guadeloupe,36
Egypt,Israel,2
Hungary,Bulgaria,13
Italy,Greece,7
Hungary,England,7
France,Netherlands,15
Indonesia,Japan,6
China PR,Indonesia,10
Czechoslovakia,England,2
Philippines,Indonesia,2
Denmark,Poland,10
United States,Mexico,22
Sweden,Argentina,1
Spain,Brazil,2
Hungary,Egypt,4
Italy,United States,6
Czechoslovakia,Germany,3
Catalonia,Brazil,1
Curaçao,Suriname,17
Lithuania,Finland,2
England,Italy,10
Hungary,Republic of Ireland,5
Peru,Chile,24
Germany,France,10
Switzerland,Republic of Ireland,6
Germany,Republic of Ireland,9
Austria,Poland,3
Spain,Germany,8
England,Netherlands,6
Scotland,United States,5
Suriname,Curaçao,13
Germany,Czechoslovakia,10
Trinidad and Tobago,Suriname,15
Germany,Romania,10
Sweden,Romania,5
Germany,Estonia,5
Poland,Austria,5
Germany,Latvia,3
Germany,Bulgaria,16
Switzerland,Norway,6
France,Sweden,12
England,Germany,14
Curaçao,Trinidad and Tobago,7
Trinidad and Tobago,Jamaica,25
Suriname,French Guiana,29
Austria,Spain,4
Austria,Portugal,3
Poland,Belgium,7
Trinidad and Tobago,Curaçao,10
Germany,Spain,9
Germany,Portugal,11
Republic of Ireland,Switzerland,8
Austria,England,4
Belgium,England,4
Republic of Ireland,Luxembourg,6
Egypt,Greece,3
Hungary,Romania,10
Scotland,Germany,4
Republic of Ireland,Germany,6
Brazil,Peru,37
Suriname,Guyana,39
Chile,Uruguay,17
Peru,Paraguay,18
Switzerland,Belgium,9
Czechoslovakia,Basque Country,2
England,Norway,7
England,Finland,9
Republic of Ireland,France,4
Italy,Norway,9
Basque Country,Silesia,1
Romania,Belgium,5
Estonia,Romania,1
Basque Country,Norway,1
Basque Country,Denmark,1
Mexico,United States,35
Poland,Denmark,8
Austria,Latvia,6
Norway,Republic of Ireland,4
Czechoslovakia,Latvia,1
Netherlands,Luxembourg,14
Portugal,Spain,8
Basque Country,Mexico,5
